eq_rank,worklist_rank,symbol,current_symbol,company_name,isin,strategy,research_score,eq_screen_pass,worklist_pass,current_series,snapshot_price,broker_listed,mis_margin_percent,budget,notional_cap,cash_cap_shares,illustrative_risk_shares,illustrative_planned_loss,risk_budget,tick_size,recent_median_value,recent_sessions,number_of_trades,audited_trades,short_trades,restricted_trades,unknown_series_trades,non_eq_trades,screen_reasons,worklist_reasons,historical_initial_investment,net_pnl,historical_ending_value,pnl_30bps,sharpe,max_drawdown,original_max_drawdown,excess_pnl,confidence_95_low,coverage_ratio,intraday,execution_validated
32,,AROGRANITE,AROGRANITE,ARO GRANITE IND. LTD.,INE210C01013,gap_fade_100,98.1325400760205,True,False,EQ,24.55,False,,1000.0,500.0,20,,,5.0,0.01,147439.195,20.0,120,120,85,0,0,0,,Not listed in dated Zerodha MIS table | Below INR 100 pilot price floor or missing price | Fails 20-session INR 50 crore liquidity screen,100000.0,832321.1793171323,932321.1793171323,481363.4235898218,6.04858438388334,-0.05512255737575511,-0.0551225573757551,861277.3147974212,0.0134731166762573,1.0,True,False
33,,STARTECK,STARTECK,STARTECK FINANCE LIMITED,INE992I01013,close_to_open,98.08337464881838,True,False,EQ,249.25,False,,1000.0,500.0,2,1.0,3.2584999999999886,5.0,0.05,1891664.8,20.0,251,251,0,0,0,0,,Not listed in dated Zerodha MIS table | Overnight strategy needs separate delivery and settlement review | Fails 20-session INR 50 crore liquidity screen,100000.0,759425.19726677,859425.19726677,216935.43032286508,7.719820584986358,-0.0548513229633697,-0.0548513229633697,778283.8757365771,0.0065292696144873,1.0,False,False
34,,3PLAND,3PLAND,3P LAND HOLDINGS LIMITED,INE105C01023,gap_fade_100,98.02346719550486,True,False,EQ,32.39,False,,1000.0,500.0,15,,,5.0,0.01,71140.31,20.0,117,117,75,0,0,0,,Not listed in dated Zerodha MIS table | Below INR 100 pilot price floor or missing price | Fails 20-session INR 50 crore liquidity screen,100000.0,890771.9363772915,990771.9363772915,525484.1063830956,7.446344223803172,-0.06185449735449711,-0.0618544973544971,925744.3909783934,0.0154772444499703,1.0,True,False
35,,AHLEAST,AHLEAST,ASIAN HOTELS (EAST) LTD,INE926K01017,gap_fade_050,97.9898983639068,True,False,EQ,136.51,False,,1000.0,500.0,3,2.0,3.6060400000000272,5.0,0.01,261775.10499999998,20.0,155,155,83,0,0,0,,Not listed in dated Zerodha MIS table | Fails 20-session INR 50 crore liquidity screen,100000.0,530990.5216313096,630990.5216313096,241469.30816183565,6.523347842235165,-0.05329225804803517,-0.0532922580480352,544166.7979838623,0.0086971352601394,1.0,True,False
36,,SRGHFL,SRGHFL,SRG HOUSING FINANCE L,INE559N01010,gap_fade_100,97.9856635266898,True,False,EQ,245.45,False,,1000.0,500.0,2,1.0,3.250900000000017,5.0,0.05,277636.925,20.0,125,125,67,0,0,0,,Not listed in dated Zerodha MIS table | Fails 20-session INR 50 crore liquidity screen,100000.0,539061.1710315725,639061.1710315725,290037.3979135707,6.283990638767909,-0.05428070175438582,-0.0542807017543858,553896.0729536315,0.0108404495877716,0.996031746031746,True,False
37,,AHLEAST,AHLEAST,ASIAN HOTELS (EAST) LTD,INE926K01017,gap_fade_100,97.95767228557266,True,False,EQ,136.51,False,,1000.0,500.0,3,2.0,3.6060400000000272,5.0,0.01,261775.10499999998,20.0,110,110,60,0,0,0,,Not listed in dated Zerodha MIS table | Fails 20-session INR 50 crore liquidity screen,100000.0,473270.44945039,573270.44945039,271414.911872402,6.508796087645868,-0.05329225804803517,-0.0532922580480351,486446.7258029426,0.0118726484318182,1.0,True,False
38,,DICIND,DICIND,DIC INDIA LIMITED,INE303A01010,gap_fade_100,97.95509006775738,True,False,EQ,618.6,False,,1000.0,500.0,0,,,5.0,0.05,2775309.5,20.0,132,132,102,0,0,0,,Not listed in dated Zerodha MIS table | One share exceeds INR 500 cash cap | Fails 20-session INR 50 crore liquidity screen,100000.0,707837.0428917131,807837.0428917131,379869.3306160064,7.825210011930361,-0.06109617612977991,-0.06109617612978,705409.6516984586,0.0125564154657848,1.0,True,False
39,,SREEL,SREEL,SREELEATHERS LIMITED,INE099F01013,gap_fade_100,97.9083002809453,True,False,EQ,265.52,False,,1000.0,500.0,1,1.0,3.511040000000034,5.0,0.01,4780089.57,20.0,114,114,90,0,0,0,,Not listed in dated Zerodha MIS table | Fails 20-session INR 50 crore liquidity screen,100000.0,325206.39620009257,425206.39620009257,170795.74063677678,6.782421058836376,-0.04499999999999993,-0.0449999999999998,313597.81483826775,0.0095950146367049,1.0,True,False
40,,HBESD,HBESD,H B ESTATE DEVELOPERS L,INE640B01021,gap_fade_050,97.87948273012726,True,False,EQ,75.1,False,,1000.0,500.0,6,,,5.0,0.01,96114.55,20.0,58,58,23,0,0,0,,Not listed in dated Zerodha MIS table | Below INR 100 pilot price floor or missing price | Fails 20-session INR 50 crore liquidity screen | Historical coverage below 95% or fewer than 20 trades,100000.0,527486.3276747691,627486.3276747691,400768.2106242437,3.468220650382197,-0.04440963855421676,-0.0444096385542168,512931.2748844223,0.0159469727115944,0.3611111111111111,True,False
41,,EUROBOND,EUROBOND,EURO PANEL PRODUCTS LTD,INE505V01016,gap_fade_050,97.87741695587508,True,False,EQ,151.0,False,,1000.0,500.0,3,2.0,3.993999999999982,5.0,0.01,1186049.43,20.0,192,192,159,0,0,0,,Not listed in dated Zerodha MIS table | Fails 20-session INR 50 crore liquidity screen,100000.0,3329156.298012223,3429156.298012223,1510546.8925455124,9.119715330147056,-0.07536543769076576,-0.0753654376907657,3367050.516146257,0.0150599870405592,1.0,True,False
