eq_rank,worklist_rank,symbol,current_symbol,company_name,isin,strategy,research_score,eq_screen_pass,worklist_pass,current_series,snapshot_price,broker_listed,mis_margin_percent,budget,notional_cap,cash_cap_shares,illustrative_risk_shares,illustrative_planned_loss,risk_budget,tick_size,recent_median_value,recent_sessions,number_of_trades,audited_trades,short_trades,restricted_trades,unknown_series_trades,non_eq_trades,screen_reasons,worklist_reasons,historical_initial_investment,net_pnl,historical_ending_value,pnl_30bps,sharpe,max_drawdown,original_max_drawdown,excess_pnl,confidence_95_low,coverage_ratio,intraday,execution_validated
16738,417,RVNL,RVNL,RAIL VIKAS NIGAM LIMITED,INE415G01027,reversal_5d,34.375309866137826,True,True,EQ,212.49,True,20.0,1000.0,500.0,2,1.0,2.824980000000005,5.0,0.01,790215108.33,20.0,69,69,28,0,0,0,,,100000.0,-29110.726258180875,70889.27374181912,-46316.75007561265,-1.6580221141614535,-0.3525755520537157,-0.3525755520537157,4985.383581636008,-0.0102998863864721,1.0,True,False
16746,418,RAIN,RAIN,RAIN INDUSTRIES LIMITED,INE855B01025,reversal_1d,34.35692447529334,True,True,EQ,215.72,True,20.0,1000.0,500.0,2,1.0,2.8614400000000058,5.0,0.01,785659370.01,20.0,109,109,57,0,0,0,,,100000.0,-19899.63696209789,80100.3630379021,-48307.26367631354,-0.558335439155165,-0.31781037571231596,-0.3178103757123159,-44255.08447025478,-0.0072477312075425,1.0,True,False
16757,419,SHANTIGOLD,SHANTIGOLD,SHANTI GOLD INTERNATION L,INE06ZD01017,gap_continuation_100,34.31519583539911,True,True,EQ,256.34,True,20.0,1000.0,500.0,1,1.0,3.392680000000002,5.0,0.01,581797494.775,20.0,65,65,18,0,0,0,,,100000.0,-24410.244928923057,75589.75507107694,-41819.69043524921,-0.9864076654047688,-0.3593307371821728,-0.3593307371821727,-21663.209355800616,-0.0115494742199805,1.0,True,False
16763,420,IOC,IOC,INDIAN OIL CORP LTD,INE242A01010,gap_continuation_050,34.301768302759875,True,True,EQ,137.6,True,20.0,1000.0,500.0,3,2.0,3.6304000000000087,5.0,0.01,1088369458.555,20.0,81,81,36,0,0,0,,,100000.0,-22649.531395160127,77350.46860483987,-44152.555972107744,-1.7340376759220262,-0.2277361781779389,-0.2277361781779388,-19522.991010680387,-0.0065074003658563,1.0,True,False
16774,421,ONGC,ONGC,OIL AND NATURAL GAS CORP.,INE213A01029,gap_continuation_100,34.27305404065444,True,True,EQ,234.65,True,20.0,1000.0,500.0,2,1.0,3.1093000000000033,5.0,0.01,2775082213.085,20.0,25,25,7,0,0,0,,,100000.0,-24032.80241222259,75967.19758777741,-31353.49574390348,-2.3915119393465107,-0.24032802412222587,-0.2403280241222258,-21536.374741381063,-0.0191348818567196,1.0,True,False
16789,422,BANKINDIA,BANKINDIA,BANK OF INDIA,INE084A01016,turn_of_month,34.22058337464882,True,True,EQ,145.0,True,20.0,1000.0,500.0,3,2.0,3.8299999999999774,5.0,0.01,754397260.855,20.0,75,75,0,0,0,0,,,100000.0,-18778.960518883498,81221.0394811165,-39918.305482710384,-1.6020017885080011,-0.21397226339438946,-0.2139722633943894,-42909.78719928514,-0.0059611498096332,1.0,True,False
16826,423,NYKAA,NYKAA,FSN E COMMERCE VENTURES,INE388Y01029,reversal_1d,34.08196992232689,True,True,EQ,332.5,True,20.0,1000.0,500.0,1,1.0,4.3750000000000115,5.0,0.05,1197465305.875,20.0,52,52,32,0,0,0,,,100000.0,-18744.92436877197,81255.07563122803,-34088.87347320949,-1.5362294859418235,-0.19578765588720504,-0.195787655887205,-67755.19637864734,-0.0087744049079704,1.0,True,False
16831,424,IOLCP,IOLCP,IOL CHEM AND PHARMA LTD,INE485C01029,reversal_5d,34.07040158651463,True,True,EQ,199.95,True,20.0,1000.0,500.0,2,1.0,2.649900000000009,5.0,0.01,644714183.21,20.0,116,116,75,0,0,0,,,100000.0,-16884.188571225153,83115.81142877485,-47841.32643048917,-0.3324645208169201,-0.2664726396516721,-0.2664726396516722,-115454.58865350428,-0.0071704702426759,1.0,True,False
16842,425,ENGINERSIN,ENGINERSIN,ENGINEERS INDIA LTD,INE510A01028,reversal_5d,34.02454139811602,True,True,EQ,279.45,True,20.0,1000.0,500.0,1,1.0,3.6489,5.0,0.05,643467907.135,20.0,72,72,40,0,0,0,,,100000.0,-19673.652644750968,80326.34735524903,-39869.24769234726,-0.8055548939011298,-0.3554886236652668,-0.3554886236652668,-45686.51109969536,-0.0092028508952086,1.0,True,False
16863,426,RATNAVEER,RATNAVEER,RATNAVEER PRECISION ENG L,INE05CZ01011,momentum_1d,33.94914063791109,True,True,EQ,304.75,True,20.0,1000.0,500.0,1,1.0,3.9795000000000003,5.0,0.05,2083492621.38,20.0,109,109,53,0,0,0,,,100000.0,-15356.136048457702,84643.8639515423,-45361.27627926956,-0.4394904798190863,-0.29394688881281306,-0.293946888812813,-112106.86996892744,-0.0063689053174806,1.0,True,False
16934,427,EPL,EPL,EPL LIMITED,INE255A01020,turn_of_month,33.678730788299454,True,True,EQ,247.1,True,20.0,1000.0,500.0,2,1.0,3.254200000000017,5.0,0.05,640014168.835,20.0,75,75,0,0,0,0,,,100000.0,-23141.47079775593,76858.52920224407,-43159.44615888836,-1.4861130981830817,-0.23141470797755936,-0.2314147079775592,-30201.14131823189,-0.0077456336756333,1.0,True,False
16950,428,PATANJALI,PATANJALI,PATANJALI FOODS LIMITED,INE619A01035,turn_of_month,33.616344405883325,True,True,EQ,342.5,True,20.0,1000.0,500.0,1,1.0,4.5149999999999775,5.0,0.05,720843981.5999999,20.0,75,75,0,0,0,0,,,100000.0,-29484.67489519196,70515.32510480804,-47867.14072476603,-2.8753433667600325,-0.29484674895191965,-0.2948467489519195,11970.691156485307,-0.0076085558043955,1.0,True,False
16977,429,UNIONBANK,UNIONBANK,UNION BANK OF INDIA,INE692A01016,momentum_1d,33.51429515782515,True,True,EQ,187.22,True,20.0,1000.0,500.0,2,2.0,4.948880000000009,5.0,0.01,1686478721.005,20.0,64,64,27,0,0,0,,,100000.0,-19038.15412100675,80961.84587899325,-37412.06999363852,-1.3618405328615637,-0.24950318585777798,-0.2495031858577779,-53190.70265587154,-0.0076991621698408,1.0,True,False
