date,symbol,isin,series,close
2026-09-04,BCLIND,INE412G01024,EQ,36.62
2026-09-04,BCPL,INE00SW01015,EQ,68.45
2026-09-04,BEARDSELL,INE520H01022,EQ,25.31
2026-09-04,BEDMUTHA,INE844K01012,EQ,112.37
2026-09-04,BEEKAY,INE213D01015,EQ,417.4
2026-09-04,BLEL,INE1EEM01017,EQ,453.15
2026-09-04,BELLACASA,INE344T01014,EQ,242.85
2026-09-04,BELRISE,INE894V01022,EQ,236.86
2026-09-04,BLAL,INE0N7W01012,EQ,160.88
2026-09-04,BEML,INE258A01024,EQ,2057.8
2026-09-04,BENARAS,INE664D01019,EQ,10200.0
2026-09-04,BENGALASM,INE083K01017,EQ,6332.5
2026-09-04,BERGEPAINT,INE463A01038,EQ,485.3
2026-09-04,BESTAGRO,INE052T01021,EQ,19.29
2026-09-04,BETA,INE351Y01019,EQ,2218.5
2026-09-04,BFINVEST,INE878K01010,EQ,469.35
2026-09-04,BFUTILITIE,INE243D01012,EQ,542.45
2026-09-04,BGRENERGY,INE661I01014,BE,246.26
2026-09-04,BHAGERIA,INE354C01027,BE,304.65
2026-09-04,BHAGCHEM,INE414D01027,EQ,264.6
2026-09-04,BHAGYANGR,INE458B01036,EQ,370.45
2026-09-04,BHANDARI,INE474E01029,EQ,3.03
2026-09-04,BEPL,INE922A01025,EQ,127.5
2026-09-04,BBL,INE464A01036,EQ,2289.3
2026-09-04,BHARATCOAL,INE05XR01022,EQ,33.81
2026-09-04,BDL,INE171Z01026,EQ,1255.0
2026-09-04,BEL,INE263A01024,EQ,405.35
2026-09-04,BHARATFORG,INE465A01025,EQ,1956.0
2026-09-04,BHARATGEAR,INE561C01019,BE,102.93
2026-09-04,BPLPHARMA,INE365Y01019,EQ,1533.3
2026-09-04,BPCL,INE029A01011,EQ,315.7
2026-09-04,BHARATRAS,INE838B01021,EQ,1171.8
2026-09-04,BRNL,INE727S01012,EQ,17.12
2026-09-04,BHARATSE,INE415D01024,EQ,211.69
2026-09-04,BHARATWIRE,INE316L01019,EQ,181.32
2026-09-04,BHARTIARTL,INE397D01024,EQ,1840.0
2026-09-04,BHARTIHEXA,INE343G01021,EQ,1495.4
2026-09-04,BIL,INE828A01016,EQ,907.85
2026-09-04,BHEL,INE257A01026,EQ,431.1
2026-09-04,BTTL,INE274K01012,BE,41.53
2026-09-04,BIGBLOC,INE412U01025,EQ,41.92
2026-09-04,BIKAJI,INE00E101023,EQ,584.2
2026-09-04,BILVYAPAR,INE071A01013,BE,4.04
2026-09-04,BI,INE986A01012,BE,95.85
2026-09-04,GROWW,INE0HOQ01053,EQ,194.0
2026-09-04,BIMETAL,INE469A01019,EQ,635.0
2026-09-04,BIOCON,INE376G01013,EQ,397.4
2026-09-04,BIOFILCHEM,INE829A01014,EQ,32.0
2026-09-04,BIRLACABLE,INE800A01015,BE,376.55
2026-09-04,BIRLACORPN,INE340A01012,EQ,887.35
2026-09-04,BIRLAPREC,INE372E01025,EQ,57.92
2026-09-04,BIRLANU,INE557A01011,EQ,1448.0
2026-09-04,BSOFT,INE836A01035,EQ,289.35
2026-09-04,BBOX,INE676A01027,EQ,712.25
2026-09-04,BLACKROSE,INE761G01016,BE,113.02
2026-09-04,BLACKBUCK,INE0UIZ01018,EQ,586.1
2026-09-04,BLBLIMITED,INE791A01024,EQ,16.68
2026-09-04,BLISSGVS,INE416D01022,BE,671.0
2026-09-04,BLSE,INE0NLT01010,EQ,320.05
2026-09-04,BLS,INE153T01027,EQ,238.79
2026-09-04,BLUECLOUDS,INE373T01047,EQ,19.88
2026-09-04,BLUECOAST,INE472B01011,BE,23.49
2026-09-04,BLUEDART,INE233B01017,EQ,4991.7
2026-09-04,BLUEJET,INE0KBH01020,EQ,569.8
2026-09-04,BLUESTARCO,INE472A01039,EQ,1484.0
2026-09-04,BLUESTONE,INE304W01038,EQ,842.75
2026-09-04,BLUSPRING,INE0U4101014,EQ,138.96
2026-09-04,BMWVENTLTD,INE965W01036,EQ,55.36
2026-09-04,BNAGROCHEM,INE00HZ01011,EQ,216.73
2026-09-04,BODALCHEM,INE338D01028,EQ,155.62
2026-09-04,BTML,INE0EEJ01023,EQ,8.51
2026-09-04,BOHRAIND,INE802W01023,EQ,12.7
2026-09-04,BBTC,INE050A01025,EQ,1496.8
2026-09-04,BOMDYEING,INE032A01023,EQ,113.47
2026-09-04,BSHSL,INE032Z01020,EQ,91.48
2026-09-04,BONLON,INE0B9A01018,EQ,40.13
2026-09-04,BORANA,INE16SF01016,EQ,307.6
2026-09-04,BOROLTD,INE02PY01013,EQ,258.96
2026-09-04,BORORENEW,INE666D01022,EQ,499.15
2026-09-04,BOROSCI,INE02L001032,EQ,132.16
2026-09-04,BOSCH-HCIL,INE782A01015,EQ,1818.8
2026-09-04,BOSCHLTD,INE323A01026,EQ,46820.0
2026-09-04,BPL,INE110A01019,EQ,49.38
2026-09-04,BRAHMINFRA,INE320I01017,EQ,163.82
2026-09-04,FIRSTCRY,INE02RE01045,EQ,180.16
2026-09-04,BCONCEPTS,INE977Y01011,EQ,167.33
2026-09-04,BRIGADE,INE791I01019,EQ,696.1
2026-09-04,BRIGHOTEL,INE03NU01014,EQ,59.19
2026-09-04,BRIGHTBR,INE630D01010,EQ,254.8
2026-09-04,BCG,INE425B01027,EQ,8.98
2026-09-04,BRITANNIA,INE216A01030,EQ,5101.5
2026-09-04,BROOKS,INE650L01011,BE,66.07
2026-09-04,BSE,INE118H01025,EQ,3409.8
2026-09-04,BSL,INE594B01012,EQ,123.58
2026-09-04,BUTTERFLY,INE295F01017,EQ,624.85
2026-09-04,BURNPUR,INE817H01022,EQ,21.56
2026-09-04,CGVAK,INE084D01010,EQ,148.21
