date,symbol,isin,series,close
2026-09-04,MAPMYINDIA,INE0BV301023,EQ,972.2
2026-09-04,CMLL,INE11XY01018,EQ,503.05
2026-09-04,CALSOFT,INE526B01014,BE,40.98
2026-09-04,CTE,INE627H01017,BE,41.82
2026-09-04,CAMLINFINE,INE052I01032,EQ,103.13
2026-09-04,CAMPUS,INE278Y01022,EQ,223.24
2026-09-04,CANFINHOME,INE477A01020,EQ,807.4
2026-09-04,CANBK,INE476A01022,EQ,125.5
2026-09-04,CANHLIFE,INE01TY01017,EQ,157.23
2026-09-04,CRAMC,INE218I01013,EQ,251.5
2026-09-04,CANTABIL,INE068L01024,EQ,243.05
2026-09-04,CAPACITE,INE264T01014,EQ,216.22
2026-09-04,CAPILLARY,INE0ILV01024,EQ,490.05
2026-09-04,CIFL,INE345H01024,EQ,19.98
2026-09-04,CAPITALSFB,INE646H01017,EQ,280.95
2026-09-04,CAPTRUST,INE707C01018,BE,20.04
2026-09-04,CAPLIPOINT,INE475E01026,EQ,2810.8
2026-09-04,CGCL,INE180C01042,EQ,279.9
2026-09-04,CPL,INE536P01021,EQ,62.11
2026-09-04,CARBORUNIV,INE120A01034,EQ,1130.6
2026-09-04,CARERATING,INE752H01013,EQ,1738.2
2026-09-04,CPEDU,INE0P6P01016,EQ,191.97
2026-09-04,CARRARO,INE0V7W01012,EQ,533.65
2026-09-04,CARTRADE,INE290S01011,EQ,3000.2
2026-09-04,CARYSIL,INE482D01024,EQ,1140.8
2026-09-04,CASTROLIND,INE172A01027,EQ,190.27
2026-09-04,CCL,INE421D01022,EQ,1106.2
2026-09-04,CEATLTD,INE482A01020,EQ,3333.2
2026-09-04,CEIGALL,INE0AG901020,EQ,355.8
2026-09-04,CEINSYS,INE016Q01014,EQ,677.85
2026-09-04,CELEBRITY,INE185H01016,EQ,6.8
2026-09-04,CELLO,INE0LMW01024,EQ,342.0
2026-09-04,CEMPRO,INE686A01026,EQ,1297.4
2026-09-04,CENTRALBK,INE483A01010,EQ,31.08
2026-09-04,CDSL,INE736A01011,EQ,1394.6
2026-09-04,CMPDI,INE05HV01027,EQ,243.92
2026-09-04,CENTRUM,INE660C01027,EQ,22.55
2026-09-04,CENTUM,INE320B01020,EQ,3767.3
2026-09-04,CENTENKA,INE485A01015,EQ,608.9
2026-09-04,CENTEXT,INE281A01026,EQ,20.19
2026-09-04,CENTURYPLY,INE348B01021,EQ,748.45
2026-09-04,CERA,INE739E01017,EQ,5787.5
2026-09-04,CEREBRAINT,INE345B01019,BZ,2.69
2026-09-04,CESC,INE486A01021,EQ,146.5
2026-09-04,CGPOWER,INE067A01029,EQ,891.0
2026-09-04,CHALET,INE427F01016,EQ,896.75
2026-09-04,CLSEL,INE419D01026,EQ,301.9
2026-09-04,CHAMBLFERT,INE085A01013,EQ,419.05
2026-09-04,CHEMBONDCH,INE0TGX01019,BE,254.45
2026-09-04,CHEMBOND,INE995D01025,EQ,170.9
2026-09-04,CHEMCON,INE03YM01018,BE,198.38
2026-09-04,CHEMCRUX,INE298W01016,EQ,82.16
2026-09-04,CHEMFAB,INE783X01023,EQ,360.1
2026-09-04,CHEMPLASTS,INE488A01050,EQ,170.29
2026-09-04,CHENNPETRO,INE178A01016,EQ,1452.2
2026-09-04,CHEVIOT,INE974B01016,EQ,1159.4
2026-09-04,CHOICEIN,INE102B01014,EQ,760.95
