symbol,mis_margin_percent,listed_mis_multiplier
GOODLUCK,20.0,5.0
GOODYEAR,20.0,5.0
GOPAL,20.0,5.0
GPIL,20.0,5.0
GPPL,20.0,5.0
GPTHEALTH,20.0,5.0
GPTINFRA,20.0,5.0
GRANULES,20.0,5.0
GRAPHITE,20.0,5.0
GRASIM,20.0,5.0
GRAUWEIL,20.0,5.0
GRAVITA,20.0,5.0
GREAVESCOT,20.0,5.0
GREENLAM,20.0,5.0
GREENPANEL,20.0,5.0
GREENPLY,20.0,5.0
GREENPOWER,20.0,5.0
GRINDWELL,20.0,5.0
GRINFRA,20.0,5.0
GRMOVER,20.0,5.0
GROWW,20.0,5.0
GROWWDEFNC,20.0,5.0
GROWWEV,20.0,5.0
GROWWGOLD,20.0,5.0
GROWWHOSPI,20.0,5.0
GROWWLIQID,20.0,5.0
GROWWPOWER,20.0,5.0
GROWWRAIL,20.0,5.0
GROWWSLVR,20.0,5.0
GRSE,20.0,5.0
GRWRHITECH,20.0,5.0
GSFC,20.0,5.0
GSPCROP,20.0,5.0
GUFICBIO,20.0,5.0
GUJALKALI,20.0,5.0
GUJENERGY,20.0,5.0
GUJTHEM,20.0,5.0
GULFOILLUB,20.0,5.0
GULPOLY,20.0,5.0
GVPIL,20.0,5.0
GVT&D,20.0,5.0
GYFTR,20.0,5.0
HAL,20.0,5.0
HAPPSTMNDS,20.0,5.0
HAPPYFORGE,20.0,5.0
HARDWYN,20.0,5.0
HARIOMPIPE,20.0,5.0
HARSHA,20.0,5.0
HATHWAY,20.0,5.0
HATSUN,20.0,5.0
HAVELLS,20.0,5.0
HAWKINCOOK,20.0,5.0
HBLENGINE,20.0,5.0
HCC,20.0,5.0
HCG,20.0,5.0
HCLTECH,20.0,5.0
HDBFS,20.0,5.0
HDFCAMC,20.0,5.0
HDFCBANK,20.0,5.0
HDFCGOLD,20.0,5.0
HDFCLIFE,20.0,5.0
HDFCLIQUID,20.0,5.0
HDFCMID150,20.0,5.0
HDFCNEXT50,20.0,5.0
HDFCNIFBAN,20.0,5.0
HDFCNIFTY,20.0,5.0
HDFCSILVER,20.0,5.0
HDFCSML250,20.0,5.0
HEALTHIETF,20.0,5.0
HEIDELBERG,20.0,5.0
HEMIPROP,20.0,5.0
HERANBA,20.0,5.0
HERITGFOOD,20.0,5.0
HEROMOTOCO,20.0,5.0
HESTERBIO,20.0,5.0
HEXT,20.0,5.0
HGINFRA,20.0,5.0
HIKAL,50.0,2.0
HIMATSEIDE,20.0,5.0
HINDALCO,20.0,5.0
HINDCOPPER,20.0,5.0
HINDOILEXP,20.0,5.0
HINDPETRO,20.0,5.0
HINDUNILVR,20.0,5.0
HINDWAREAP,20.0,5.0
HINDZINC,20.0,5.0
HIRECT,20.0,5.0
HITECH,20.0,5.0
HLEGLAS,20.0,5.0
HMAAGRO,20.0,5.0
HNDFDS,20.0,5.0
HNGSNGBEES,20.0,5.0
HOMEFIRST,20.0,5.0
HONASA,20.0,5.0
HONAUT,20.0,5.0
HONDAPOWER,20.0,5.0
HORIZONIND,20.0,5.0
HPL,20.0,5.0
HSCL,20.0,5.0
HTMEDIA,20.0,5.0
HUBTOWN,20.0,5.0
HUDCO,20.0,5.0
HUHTAMAKI,20.0,5.0
HYUNDAI,20.0,5.0
IBULLSLTD,20.0,5.0
ICEMAKE,20.0,5.0
ICICIAMC,20.0,5.0
ICICIB22,20.0,5.0
ICICIBANK,20.0,5.0
ICICIGI,20.0,5.0
ICICIPRULI,20.0,5.0
ICIL,20.0,5.0
ICRA,20.0,5.0
IDBI,20.0,5.0
IDEA,20.0,5.0
IDEAFORGE,20.0,5.0
IDFCFIRSTB,20.0,5.0
IEX,20.0,5.0
IFBIND,20.0,5.0
IFCI,20.0,5.0
IFGLEXPOR,20.0,5.0
IGARASHI,20.0,5.0
IGCL,20.0,5.0
IGIL,20.0,5.0
IGL,20.0,5.0
IGPL,20.0,5.0
IIFL,20.0,5.0
IIFLCAPS,20.0,5.0
IITL,20.0,5.0
IKIO,20.0,5.0
IKS,20.0,5.0
IMAGICAA,20.0,5.0
IMFA,20.0,5.0
INA,20.0,5.0
INDGN,20.0,5.0
INDHOTEL,20.0,5.0
INDIACEM,20.0,5.0
INDIAMART,20.0,5.0
INDIANB,20.0,5.0
INDIANHUME,20.0,5.0
INDIASHLTR,20.0,5.0
INDIGO,20.0,5.0
INDIGOPNTS,20.0,5.0
INDIQUBE,20.0,5.0
INDNIPPON,20.0,5.0
INDOBORAX,20.0,5.0
INDOCO,20.0,5.0
INDOFARM,20.0,5.0
INDOMIM,20.0,5.0
INDORAMA,20.0,5.0
INDOSTAR,20.0,5.0
INDOTECH,20.0,5.0
INDRAMEDCO,20.0,5.0
INDSWFTLAB,20.0,5.0
INDUSINDBK,20.0,5.0
INDUSTOWER,20.0,5.0
INFOBEAN,20.0,5.0
INFRAIETF,20.0,5.0
INFY,20.0,5.0
INGERRAND,20.0,5.0
INNOVACAP,20.0,5.0
INOXGREEN,20.0,5.0
INOXINDIA,20.0,5.0
INOXWIND,20.0,5.0
INSECTICID,20.0,5.0
INTELLECT,20.0,5.0
INTERARCH,20.0,5.0
IOB,20.0,5.0
IOC,20.0,5.0
IOLCP,20.0,5.0
IONEXCHANG,20.0,5.0
IPCALAB,20.0,5.0
IPL,20.0,5.0
IRB,20.0,5.0
IRCON,20.0,5.0
IRCTC,20.0,5.0
IREDA,20.0,5.0
IRFC,20.0,5.0
IRISDOREME,20.0,5.0
IRMENERGY,20.0,5.0
ISGEC,20.0,5.0
IT,20.0,5.0
ITAXIS,20.0,5.0
ITBEES,20.0,5.0
ITC,20.0,5.0
ITCHOTELS,20.0,5.0
ITDC,20.0,5.0
ITETF,20.0,5.0
ITI,20.0,5.0
ITIETF,20.0,5.0
IVALUE,20.0,5.0
IXIGO,20.0,5.0
IZMO,20.0,5.0
J&KBANK,20.0,5.0
JAGRAN,20.0,5.0
JAGSNPHARM,20.0,5.0
JAIBALAJI,20.0,5.0
JAICORPLTD,20.0,5.0
JAINREC,20.0,5.0
