eq_rank,worklist_rank,symbol,current_symbol,company_name,isin,strategy,research_score,eq_screen_pass,worklist_pass,current_series,snapshot_price,broker_listed,mis_margin_percent,budget,notional_cap,cash_cap_shares,illustrative_risk_shares,illustrative_planned_loss,risk_budget,tick_size,recent_median_value,recent_sessions,number_of_trades,audited_trades,short_trades,restricted_trades,unknown_series_trades,non_eq_trades,screen_reasons,worklist_reasons,historical_initial_investment,net_pnl,historical_ending_value,pnl_30bps,sharpe,max_drawdown,original_max_drawdown,excess_pnl,confidence_95_low,coverage_ratio,intraday,execution_validated
4637,,MAMATA,MAMATA,MAMATA MACHINERY LIMITED,INE0TO701015,volume_reversal,73.81111057060856,True,False,EQ,412.55,True,20.0,1000.0,500.0,1,0.0,,5.0,0.05,22024161.425,20.0,31,31,25,0,0,0,,"No whole share fits illustrative 1% stop and INR 5 planned-risk limit, or tick is missing | Fails 20-session INR 50 crore liquidity screen | Historical coverage below 95% or fewer than 20 trades",100000.0,-4710.992779049746,95289.00722095025,-15864.218764096178,-0.0880394798848716,-0.14932077686754341,-0.1493207768675434,31241.388173331263,-0.0105679692142621,0.1669367909238249,True,False
4638,,CGVAK,CGVAK,C G V A K SOFTWARE & EX L,INE084D01010,momentum_5d,73.80843508294012,True,False,EQ,148.21,False,,1000.0,500.0,3,2.0,3.9028400000000367,5.0,0.01,309873.64,15.0,1,1,0,0,0,0,,Not listed in dated Zerodha MIS table | Fails 20-session INR 50 crore liquidity screen | Historical coverage below 95% or fewer than 20 trades,100000.0,-1761.461794019924,98238.53820598008,-2161.461794019924,-0.3195418113578169,-0.01761461794019925,-0.0176146179401992,771.4329428221681,,0.0036466774716369,True,False
4639,,FLAIR,FLAIR,FLAIR WRITING INDUST LTD,INE00Y201027,close_to_open,73.79724667996302,True,False,EQ,243.71,True,20.0,1000.0,500.0,2,1.0,3.227420000000007,5.0,0.01,15815633.565000001,20.0,673,673,0,0,0,0,,Overnight strategy needs separate delivery and settlement review | Fails 20-session INR 50 crore liquidity screen | Historical coverage below 95% or fewer than 20 trades,100000.0,47341.28228664884,147341.28228664884,-90058.37538885488,0.4652682616443386,-0.3048967427925652,-0.3048967427925653,92351.26232656908,-0.0002230760133369,0.2735008103727714,False,False
4640,,MKEXIM,MKEXIM,M K EXIM (INDIA) LTD.,INE227F01010,momentum_5d,73.78946344310941,True,False,EQ,62.18,False,,1000.0,500.0,8,,,5.0,0.01,1094811.36,15.0,3,3,0,0,0,0,,Not listed in dated Zerodha MIS table | Below INR 100 pilot price floor or missing price | Fails 20-session INR 50 crore liquidity screen | Historical coverage below 95% or fewer than 20 trades,100000.0,-1218.3759134615393,98781.62408653846,-2404.0043254413613,-0.1267195182415912,-0.02692307692307694,-0.0269230769230769,-20491.238091165094,-0.0548460928418668,0.0036466774716369,True,False
4641,,MKEXIM,MKEXIM,M K EXIM (INDIA) LTD.,INE227F01010,turn_of_month,73.78946344310941,True,False,EQ,62.18,False,,1000.0,500.0,8,,,5.0,0.01,1094811.36,15.0,3,3,0,0,0,0,,Not listed in dated Zerodha MIS table | Below INR 100 pilot price floor or missing price | Fails 20-session INR 50 crore liquidity screen | Historical coverage below 95% or fewer than 20 trades,100000.0,-1218.3759134615393,98781.62408653846,-2404.0043254413613,-0.1267195182415912,-0.02692307692307694,-0.0269230769230769,-20491.238091165094,-0.0548460928418668,0.0036466774716369,True,False
4642,,HINDALUMI,HINDALUMI,HIND ALUMINIUM INDS. LTD.,INE227B01019,momentum_1d,73.7839908546967,True,False,EQ,97.43,False,,1000.0,500.0,5,,,5.0,0.01,280226.27,15.0,1,1,0,0,0,0,,Not listed in dated Zerodha MIS table | Below INR 100 pilot price floor or missing price | Fails 20-session INR 50 crore liquidity screen | Historical coverage below 95% or fewer than 20 trades,100000.0,-1480.0,98520.0,-1880.0,-0.319541811357817,-0.014800000000000035,-0.0148,-290.124029444356,,0.0036466774716369,True,False
4643,,SURYAROSNI,SURYAROSNI,SURYA ROSHNI LTD,INE335A01020,volume_continuation,73.78362601546918,True,False,EQ,216.49,True,20.0,1000.0,500.0,2,1.0,2.872979999999997,5.0,0.01,97211463.07,20.0,59,59,24,0,0,0,,Fails 20-session INR 50 crore liquidity screen | Historical coverage below 95% or fewer than 20 trades,100000.0,2630.9349361809,102630.9349361809,-18986.39412449245,0.0740229777398549,-0.28586197261685764,-0.2858619726168576,13631.262695347164,-0.0083684447546097,0.2884927066450567,True,False
4644,,ITCHOTELS,ITCHOTELS,ITC HOTELS LIMITED,INE379A01028,volume_reversal,73.78168020625577,True,False,EQ,161.23,True,20.0,1000.0,500.0,3,2.0,4.244920000000027,5.0,0.01,212695603.91000003,20.0,20,20,14,0,0,0,,Fails 20-session INR 50 crore liquidity screen | Historical coverage below 95% or fewer than 20 trades,100000.0,-2998.4945123673824,97001.50548763262,-10483.381237445445,-0.0845213842833569,-0.09848622693811504,-0.098486226938115,1476.3381905711576,-0.0116842384441667,0.1576175040518638,True,False
4645,,PANORAMA,PANORAMA,PANORAMA STUDIOS INTL. L,INE258R01028,momentum_5d,73.77961278396654,True,False,EQ,47.41,True,20.0,1000.0,500.0,10,,,5.0,0.01,12186350.04,15.0,1,1,0,0,0,0,,Below INR 100 pilot price floor or missing price | Fails 20-session INR 50 crore liquidity screen | Historical coverage below 95% or fewer than 20 trades,100000.0,-1001.6443987667008,98998.3556012333,-1401.6443987667008,-0.3195418113578169,-0.01001644398766699,-0.0100164439876669,-3334.1295556793484,,0.0036466774716369,True,False
4646,,HDFCBANK,,HDFCBANK,INE040A01026,reversal_5d,73.77876149243566,True,False,,,False,,1000.0,500.0,0,,,5.0,,,,30,30,21,0,0,0,,Not listed in dated Zerodha MIS table | Below INR 100 pilot price floor or missing price | One share exceeds INR 500 cash cap | Fails 20-session INR 50 crore liquidity screen | Historical coverage below 95% or fewer than 20 trades,100000.0,5447.86925767333,105447.86925767333,-6479.881957116275,0.2262378217770103,-0.07413543861660876,-0.0741354386166087,-71254.33573384589,-0.0035821197805443,0.3059157212317666,True,False
